,x1,x1_vel,y1,y1_vel,x2,x2_vel,y2,y2_vel
788,0.7692318527821055,0.07381766325631231,0.9573325870563163,0.02877375530619355,0.8645284295417328,-0.031181371511813973,0.9876403823884821,-0.08603301130847205
789,0.7692318527821055,-0.01997517539536592,0.9573325870563163,-0.9319585573681359,0.8645284295417328,-0.01997517539536592,0.9876403823884821,0.9884135176194846
790,0.13922259763632627,0.02893560694009817,0.09594578379491359,0.009949803702213478,0.160874550377493,-0.052160649234739814,0.1935736125247091,-0.027508766849963864
791,0.13922259763632627,-0.007837095447921064,0.09594578379491359,-0.13083206018262916,0.160874550377493,-0.007837095447921064,0.1935736125247091,0.09723301112421304
792,0.384567256452792,0.09043661949837879,0.0748182926937766,0.014383913950588578,0.4434673102972674,-0.003328385094069142,0.15563155680999644,-0.012997347763517388
793,0.384567256452792,0.078061090554077,0.0748182926937766,-0.15859606774062757,0.4434673102972674,0.078061090554077,0.15563155680999644,0.20880489603391944
794,0.8570841991525658,0.04350808372157863,0.03220656986895942,0.05686614325446953,0.9210800182843377,-0.06571201418628057,0.10904754288240807,-0.09742354358022795
795,0.8570841991525658,-0.04374118567053503,0.03220656986895942,-0.3689528304929619,0.9210800182843377,-0.04374118567053503,0.10904754288240807,0.35286114524912005
796,0.47216468898922315,0.044478863661008,0.07870956133612284,0.053695144708196585,0.5220123248774869,-0.07050504038071978,0.16539989064886151,-0.014151026654874
797,0.47216468898922315,-0.002022213700876435,0.07870956133612284,-0.30430580564829307,0.5220123248774869,-0.002022213700876435,0.16539989064886151,0.30195175052383855
798,0.4246030644460378,0.034142786229494106,0.42449246510616123,0.03872551154675328,0.5100002430746337,-0.07469586317034253,0.4765243964779226,-0.003508538939378614
799,0.4246030644460378,-0.032877203510703085,0.42449246510616123,-0.3836208400495618,0.5100002430746337,-0.032877203510703085,0.4765243964779226,0.41754854496080945
800,0.5200909070956304,0.09619821707197507,0.46941841113011973,0.07662541434979611,0.5962641189231024,-0.04425438318941625,0.5342076216507541,-0.06969283298937258
801,0.5200909070956304,0.04806612707505653,0.46941841113011973,-0.49812587215891735,0.5962641189231024,0.04806612707505653,0.5342076216507541,0.48249682629735063
802,0.06579957802690461,0.05964976582357273,0.553234647363392,0.05014293585866624,0.15591211452428766,-0.08914678116439861,0.5965905093200848,-0.08503737548924838
803,0.06579957802690461,-0.0598288020675293,0.553234647363392,-0.6237625962316573,0.15591211452428766,-0.0598288020675293,0.5965905093200848,0.7193276993015019
804,0.1129670546150604,0.044391473828405525,0.7331951985362853,0.060846403509089514,0.12030719203092839,-0.060291597366282826,0.8329254466193828,-0.08790430891380792
805,0.1129670546150604,-0.0037895624150477668,0.7331951985362853,-0.32446919248714057,0.12030719203092839,-0.0037895624150477668,0.8329254466193828,0.2732594221441611
806,0.9958269821082559,0.006482473402293554,0.4549329058176347,0.017103725807300508,1.0589289308259668,-0.07275030846633135,0.5325096037882714,-0.026904789306785283
807,0.9958269821082559,-0.016160582700939466,0.4549329058176347,-0.051032736961562075,1.0589289308259668,-0.016160582700939466,0.5325096037882714,0.04431037047222476
808,0.2619272691207579,0.09389581791471056,0.19534946094691863,0.021473765739097442,0.3285569050276636,-0.0343028806606825,0.26991816496484555,-0.022280864425114857
809,0.2619272691207579,0.058922114525991276,0.19534946094691863,-0.2745092800021902,0.3285569050276636,0.058922114525991276,0.26991816496484555,0.28780321059893976
810,0.020218840289678686,0.020117676820245147,0.3801008381956178,0.06967867686028269,0.029961720302468398,-0.08933753474862276,0.47962508794941594,-0.02787089033580721
